"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output http/Http-1568826886-dstat.csv",,,,"Date:","18 Sep 2019 19:14:51 CEST"
"total cpu usage",,,,,"dsk/total",,"paging",,"system",
4.703,0.990,94.307,0,0,0,0,0,0,1696,3534


"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output http/Http-1568826886-dstat.csv",,,,"Date:","18 Sep 2019 19:15:26 CEST"
"total cpu usage",,,,,"dsk/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","in","out","int","csw"
4.436,0.770,94.679,0.115,0,643380.872,67556.908,0,0,1106.522,3534.293
4,1,95,0,0,0,0,0,0,1830,3828
3.046,0.508,96.447,0,0,0,0,0,0,1711,3598
3.234,1.741,95.025,0,0,0,0,0,0,1735,3627
4.229,0.995,94.776,0,0,0,77824,0,0,1725,3639
3.275,0.756,95.970,0,0,0,0,0,0,1679,3619
6.436,1.238,92.079,0.248,0,0,0,0,0,2037,5071
6.700,2.233,90.819,0.248,0,0,0,0,0,2450,7113
5.528,1.256,92.965,0.251,0,0,0,0,0,2359,6665
7.444,1.489,91.067,0,0,0,49152,0,0,2539,7585
6.281,0.754,92.965,0,0,0,32768,0,0,2201,5551
5.290,1.008,93.703,0,0,0,0,0,0,2336,6183
6.061,0.758,92.929,0.253,0,0,0,0,0,1987,4905
5,1.500,93.500,0,0,0,0,0,0,2040,5267
5.970,1.244,92.786,0,0,0,0,0,0,2150,5445
4.988,1.496,92.768,0.748,0,0,0,0,0,1918,4716
8.621,1.970,88.424,0.985,0,0,16384,0,0,2461,7225
5.051,0.758,93.687,0.505,0,0,0,0,0,1966,5135
3.316,0.510,95.918,0.255,0,0,483328,0,0,2090,4964
5.160,1.474,93.366,0,0,0,0,0,0,1836,3999
4.218,1.737,94.045,0,0,0,0,0,0,1988,4099
3.769,1.005,94.975,0.251,0,0,0,0,0,1733,3868
7.250,1,90.750,1,0,0,0,0,0,2040,5805
4.040,1.010,94.697,0.253,0,0,0,0,0,1932,4616
3.077,0.256,96.410,0.256,0,0,102400,0,0,2095,5185
4.061,0.508,94.924,0.508,0,0,0,0,0,1920,4885
4.975,0.995,93.781,0.249,0,0,0,0,0,1805,4149
4.738,0.998,94.015,0.249,0,0,0,0,0,1891,4447
4.774,0.503,94.724,0,0,0,0,0,0,1937,4562
5.779,1.005,92.965,0.251,0,0,8192,0,0,2158,5946
7.731,1.496,90.524,0.249,0,0,57344,0,0,2337,6840
9.750,1,88.750,0.500,0,0,282624,0,0,2595,7203
3.509,1.003,95.489,0,0,0,0,0,0,1726,3818
4.988,0.998,94.015,0,0,0,0,0,0,1857,4363
6.219,1.741,92.040,0,0,0,0,0,0,2364,6124
3.817,0.763,95.420,0,0,0,16384,0,0,2060,4333
3.990,1.746,94.015,0.249,0,0,94208,0,0,1921,4082
3.741,1.247,95.012,0,0,0,0,0,0,1684,3621
3.030,0.758,96.212,0,0,0,0,0,0,1744,3751
2.792,0.761,96.447,0,0,57344,0,0,0,1720,3705
14.599,3.650,81.752,0,0,0,0,0,0,9949,13627
8.728,6.234,85.037,0,0,0,73728,0,0,22428,43995
9.113,6.404,84.483,0,0,0,0,0,0,22509,44236
9.756,5.610,84.634,0,0,0,0,0,0,22346,43899
9.685,6.295,84.019,0,0,0,0,0,0,22277,43851
8.578,6.618,84.804,0,0,0,8192,0,0,22343,43915
8.148,5.926,85.679,0.247,0,0,20480,0,0,22367,43610
7.940,5.459,86.600,0,0,0,0,0,0,22285,43750
6.500,6.500,87,0,0,0,0,0,0,22170,43662
9.443,6.053,84.504,0,0,0,0,0,0,22336,43701
8.128,6.650,78.571,6.650,0,0,56774656,0,0,22417,43737
6.452,4.963,88.337,0.248,0,0,65536,0,0,9660,18547
6.667,4.198,89.136,0,0,0,0,0,0,6149,11661
6.650,5.172,80.542,7.635,0,4096,57278464,0,0,6153,11349
5.911,5.419,75.123,13.547,0,4096,121806848,0,0,6201,11304
5.970,5.473,74.627,13.930,0,0,115519488,0,0,6341,11737
6.436,5.941,63.119,24.505,0,12288,167813120,0,0,19361,35229
6.983,6.484,65.087,21.446,0,4096,167772160,0,0,22048,42036
5.570,4.304,67.089,23.038,0,4096,167772160,0,0,9492,17709
