"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output http/Http-1568826726-dstat.csv",,,,"Date:","18 Sep 2019 19:12:20 CEST"
"total cpu usage",,,,,"dsk/total",,"paging",,"system",
3.509,0.752,95.739,0,0,0,0,0,0,2677,5675
6.158,1.970,91.626,0.246,0,0,0,0,0,3369,8620
7.177,2.153,90.670,0,0,0,0,0,0,2966,6642
9.368,3.747,86.885,0,0,0,0,0,0,3442,8874
9.662,1.932,88.164,0.242,0,0,61440,0,0,3459,8537
12.057,3.310,84.634,0,0,0,0,0,0,3792,9711
7.143,1.724,90.887,0.246,0,0,0,0,0,2954,6789
7.579,1.222,91.198,0,0,0,0,0,0,3163,6967
11.916,1.869,85.514,0.701,0,0,0,0,0,3097,7321
12.591,0.969,85.714,0.726,0,0,0,0,0,4350,7664
10.194,1.699,87.136,0.971,0,0,253952,0,0,3205,7808
6.173,0.741,92.593,0.494,0,0,0,0,0,2969,6569
4.691,0.988,94.321,0,0,0,0,0,0,2854,6243
3.990,0.998,94.763,0.249,0,0,0,0,0,2644,5545
5.160,1.229,93.612,0,0,0,0,0,0,2825,6227
4.750,1,94.250,0,0,0,196608,0,0,3062,6865
7.160,0.988,91.852,0,0,0,0,0,0,3494,9090
5.500,0.750,93.750,0,0,0,0,0,0,3370,8584
5.970,0.995,92.786,0.249,0,0,0,0,0,3292,8183
11.138,1.937,86.683,0.242,0,0,0,0,0,3460,8843
5.405,1.474,93.120,0,0,0,53248,0,0,3185,7768
5.459,0.993,93.548,0,0,0,0,0,0,2883,6580
6.173,1.235,92.346,0.247,0,0,0,0,0,3257,8233
5.459,1.489,93.052,0,0,0,0,0,0,3132,6373
2.532,0.759,96.709,0,0,0,0,0,0,2819,6021
4.975,1.493,93.532,0,0,0,98304,0,0,3213,7786
7.731,1.496,90.524,0.249,0,0,49152,0,0,3452,8845
4.762,0.752,94.486,0,0,0,0,0,0,3023,7647
4.010,1.003,94.987,0,0,0,0,0,0,2972,6888
9.630,1.235,89.136,0,0,0,0,0,0,3443,8196
4.040,0.505,95.455,0,0,0,0,0,0,3061,7185
6.219,1.244,92.289,0.249,0,0,0,0,0,2950,7010
2.764,0.754,96.482,0,0,0,65536,0,0,2522,5249
3.509,0.501,95.990,0,0,0,0,0,0,2601,5311
3.518,1.005,95.477,0,0,0,0,0,0,3131,6504
2.750,1,96.250,0,0,0,0,0,0,2529,5214
5.721,0.995,93.284,0,0,0,0,0,0,3237,8330
6.203,1.241,92.556,0,0,0,0,0,0,3322,8142
10.591,1.232,87.438,0.739,0,0,12288,0,0,3481,9076
7.125,1.720,90.909,0.246,0,0,0,0,0,3434,9207
3.741,1.746,94.514,0,0,0,0,0,0,2985,7185
7.617,1.720,90.418,0.246,0,0,20480,0,0,3515,9329
9.181,1.737,89.082,0,0,0,0,0,0,3439,9085
6.452,1.489,91.811,0.248,0,0,73728,0,0,3376,8458
7.481,1.746,90.524,0.249,0,4096,118784,0,0,3503,10479
3.023,1.008,95.970,0,0,0,0,0,0,2947,6810
4.988,0.998,93.766,0.249,0,0,90112,0,0,3011,7763
3.266,0.754,95.980,0,0,0,0,0,0,2884,6594
5.970,1.244,92.786,0,0,0,65536,0,0,3276,8909
5.473,1.493,93.035,0,0,0,61440,0,0,3265,8327
3.023,1.008,95.970,0,0,0,0,0,0,2866,6642
3.023,0.756,96.222,0,0,0,40960,0,0,2880,6638
2.764,0.754,96.482,0,0,0,0,0,0,2579,5369
3.491,0.748,95.761,0,0,0,0,0,0,2539,5350
13.447,1.467,84.597,0.489,0,0,307200,0,0,3296,8370
6.948,1.241,91.811,0,0,0,0,0,0,3254,7810
7.538,0.754,91.709,0,0,8192,94208,0,0,3484,9086
4.774,1.005,93.970,0.251,0,0,0,0,0,3363,8739
3.553,1.015,95.178,0.254,0,0,0,0,0,3156,7957
6.452,1.489,92.060,0,0,0,0,0,0,3563,8969
5.405,2.211,92.138,0.246,0,0,57344,0,0,3333,7834
6.468,1.244,92.289,0,0,0,0,0,0,3313,8793
7.160,1.481,91.111,0.247,0,0,331776,0,0,3200,8112
4.030,0.504,95.466,0,0,0,0,0,0,2903,6744
3.266,1.005,95.477,0.251,0,0,0,0,0,3268,7142
2.532,1.013,96.456,0,0,0,0,0,0,2925,6756
3.526,1.259,95.214,0,0,0,0,0,0,2990,7298
3.741,1.247,94.763,0.249,0,0,49152,0,0,2847,6636
5.985,0.998,93.017,0,0,0,0,0,0,3255,8498
4.511,1.253,94.236,0,0,0,0,0,0,3084,7602
9.559,1.471,88.480,0.490,0,0,0,0,0,3516,9067
14,3,81.750,1.250,0,40882176,12288,0,0,4172,11107
31.294,2.118,63.765,2.824,0,83890176,4096,0,0,5090,12376
21.429,2.619,75.476,0.476,0,7028736,290816,0,0,4003,9722
12.225,1.467,85.819,0.489,0,3473408,172032,0,0,3423,8928
11.386,1.733,86.139,0.743,0,0,0,0,0,3653,9958
2.519,1.511,95.970,0,0,0,0,0,0,2843,6403
7.711,2.488,89.552,0.249,0,4096,12288,0,0,3657,10281
23.114,3.893,71.776,1.217,0,19247104,307200,0,0,4249,12183
5.779,1.005,93.216,0,0,0,86016,0,0,3323,8310
13.902,1.707,84.390,0,0,651264,86016,0,0,2716,7649
4.293,1.263,94.192,0.253,0,0,233472,0,0,2186,5781
7.196,1.241,91.563,0,0,0,73728,0,0,2334,6437
8.794,1.508,89.698,0,0,0,0,0,0,2486,6283
7.711,1.493,90.796,0,0,0,0,0,0,2322,6288
10.149,1.485,88.366,0,0,0,0,0,0,2517,6785
8.128,1.232,90.394,0.246,0,0,0,0,0,2540,7219
4.250,1.500,94.250,0,0,0,49152,0,0,1986,4599
3.291,0.759,95.949,0,0,0,0,0,0,1878,4080
3.023,1.511,95.466,0,0,0,0,0,0,1859,3930
3.807,0.508,95.685,0,0,0,0,0,0,2023,4637
4.489,0.998,94.264,0.249,0,0,0,0,0,1876,4212
4.304,1.266,94.177,0.253,0,0,462848,0,0,2318,5824
7.673,1.980,90.099,0.248,0,0,0,0,0,2617,7631
8.750,1.250,89.750,0.250,0,0,364544,0,0,2542,7541
4.534,0.756,94.710,0,0,0,0,0,0,1926,4370
6.484,1.496,92.020,0,0,0,0,0,0,2392,6551
7.407,1.728,90.617,0.247,0,0,0,0,0,2054,4861
5.185,0.988,93.827,0,0,0,0,0,0,1752,3893
5.432,1.481,93.086,0,0,0,53248,0,0,1956,4240
6.234,1.247,92.269,0.249,0,0,0,0,0,2155,4969
6.030,1.759,92.211,0,0,0,0,0,0,2376,6514
3.526,1.008,95.214,0.252,0,0,221184,0,0,1855,4142
7.160,1.728,91.111,0,0,0,0,0,0,2372,6175
6.127,1.716,92.157,0,0,0,0,0,0,1846,4006
4.250,0.750,95,0,0,0,77824,0,0,1735,3630
3.741,0.998,95.262,0,0,0,0,0,0,1702,3601
5.025,1.508,93.467,0,0,0,36864,0,0,1771,3951
4.703,1.238,94.059,0,0,0,0,0,0,1775,3870
3.038,0.759,96.203,0,0,0,0,0,0,1733,3639
4.040,2.020,93.939,0,0,0,0,0,0,3247,6010
3.500,1.250,95.250,0,0,0,0,0,0,1753,3654
3.509,0.752,95.739,0,0,0,126976,0,0,1656,3457
4.020,0.503,95.226,0.251,0,0,77824,0,0,1723,3589
3.030,0.758,96.212,0,0,0,0,0,0,1684,3542
2.525,1.010,96.465,0,0,0,0,0,0,1657,3421
3.526,0.756,95.718,0,0,0,110592,0,0,1713,3571
4,0.500,95.500,0,0,0,0,0,0,1660,3549
3.008,1.253,95.739,0,0,0,0,0,0,1661,3467
4.239,0.748,95.012,0,0,0,0,0,0,1664,3480
2.532,1.013,96.456,0,0,0,0,0,0,1658,3468
3.750,0.750,95.500,0,0,0,0,0,0,1665,3493
4.250,0.500,95.250,0,0,0,40960,0,0,1674,3468
3.535,0.253,96.212,0,0,0,0,0,0,1699,3576
4.467,0.993,94.541,0,0,0,0,0,0,1748,3638
3.509,1.003,95.489,0,0,0,0,0,0,1656,3459
3.509,1.003,95.489,0,0,0,0,0,0,1648,3502
3.500,0.750,95.500,0.250,0,0,16384,0,0,1651,3472
4,0.750,95.250,0,0,0,188416,0,0,1683,3465
4,0.500,95.500,0,0,0,0,0,0,1642,3420
3.722,1.489,94.789,0,0,0,0,0,0,1687,3501
3.526,0.504,95.970,0,0,0,0,0,0,1684,3549
3.741,0.998,95.262,0,0,0,0,0,0,1671,3515
4.239,0.748,95.012,0,0,0,929792,0,0,1867,3538
4.703,1.485,93.812,0,0,0,0,0,0,1744,3709
